agent,task_id,composite_v4,composite_score,raw_score_v3,answer_chars,score_file,answer_file
gpt-researcher,dr_cross_deep_0015,0.0,0.0,0.1717,19595,scores/gpt-researcher__dr_cross_deep_0015_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0015_matrix.md
ii-researcher,dr_cross_deep_0015,0.0,0.0,0.1317,6498,scores/ii-researcher__dr_cross_deep_0015_matrix.score.json,answers/ii-researcher__dr_cross_deep_0015_matrix.md
langchain-odr,dr_cross_deep_0015,0.0,0.0,0.1233,7879,scores/langchain-odr__dr_cross_deep_0015_matrix.score.json,answers/langchain-odr__dr_cross_deep_0015_matrix.md
ldr,dr_cross_deep_0015,0.0,0.0,0.1133,4010,scores/ldr__dr_cross_deep_0015_matrix.score.json,answers/ldr__dr_cross_deep_0015_matrix.md
opencode,dr_cross_deep_0015,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0015_matrix.score.json,answers/opencode__dr_cross_deep_0015_matrix.md
qx-agents,dr_cross_deep_0015,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0015_matrix.score.json,answers/qx-agents__dr_cross_deep_0015_matrix.md
smolagents,dr_cross_deep_0015,0.0,0.0,0.1092,4219,scores/smolagents__dr_cross_deep_0015_matrix.score.json,answers/smolagents__dr_cross_deep_0015_matrix.md
claude-code,dr_cross_deep_0016,0.0519,0.0,0.1,4365,scores/claude-code__dr_cross_deep_0016_matrix.score.json,answers/claude-code__dr_cross_deep_0016_matrix.md
deerflow,dr_cross_deep_0016,0.4916,0.0333,0.515,9568,scores/deerflow__dr_cross_deep_0016_matrix.score.json,answers/deerflow__dr_cross_deep_0016_matrix.md
flowsearcher-ds,dr_cross_deep_0016,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0016_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0016_matrix.md
gpt-researcher,dr_cross_deep_0016,0.0,0.0,0.1642,18412,scores/gpt-researcher__dr_cross_deep_0016_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0016_matrix.md
ii-researcher,dr_cross_deep_0016,0.3459,0.0,0.4433,5637,scores/ii-researcher__dr_cross_deep_0016_matrix.score.json,answers/ii-researcher__dr_cross_deep_0016_matrix.md
langchain-odr,dr_cross_deep_0016,0.0,0.0,0.1758,7793,scores/langchain-odr__dr_cross_deep_0016_matrix.score.json,answers/langchain-odr__dr_cross_deep_0016_matrix.md
ldr,dr_cross_deep_0016,0.0,0.0,0.1167,4228,scores/ldr__dr_cross_deep_0016_matrix.score.json,answers/ldr__dr_cross_deep_0016_matrix.md
opencode,dr_cross_deep_0016,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0016_matrix.score.json,answers/opencode__dr_cross_deep_0016_matrix.md
qx-agents,dr_cross_deep_0016,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0016_matrix.score.json,answers/qx-agents__dr_cross_deep_0016_matrix.md
smolagents,dr_cross_deep_0016,0.0,0.0,0.1133,4648,scores/smolagents__dr_cross_deep_0016_matrix.score.json,answers/smolagents__dr_cross_deep_0016_matrix.md
claude-code,dr_cross_deep_0017,0.0,0.0,0.02,1505,scores/claude-code__dr_cross_deep_0017_matrix.score.json,answers/claude-code__dr_cross_deep_0017_matrix.md
deerflow,dr_cross_deep_0017,0.0,0.0,0.165,9054,scores/deerflow__dr_cross_deep_0017_matrix.score.json,answers/deerflow__dr_cross_deep_0017_matrix.md
flowsearcher-ds,dr_cross_deep_0017,0.0,0.0,0.1833,34269,scores/flowsearcher-ds__dr_cross_deep_0017_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0017_matrix.md
gpt-researcher,dr_cross_deep_0017,0.0,0.0,0.15,7646,scores/gpt-researcher__dr_cross_deep_0017_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0017_matrix.md
ii-researcher,dr_cross_deep_0017,0.0,0.0,0.1492,7647,scores/ii-researcher__dr_cross_deep_0017_matrix.score.json,answers/ii-researcher__dr_cross_deep_0017_matrix.md
langchain-odr,dr_cross_deep_0017,0.0,0.0,0.12,7255,scores/langchain-odr__dr_cross_deep_0017_matrix.score.json,answers/langchain-odr__dr_cross_deep_0017_matrix.md
ldr,dr_cross_deep_0017,0.0,0.0,0.055,5251,scores/ldr__dr_cross_deep_0017_matrix.score.json,answers/ldr__dr_cross_deep_0017_matrix.md
opencode,dr_cross_deep_0017,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0017_matrix.score.json,answers/opencode__dr_cross_deep_0017_matrix.md
qx-agents,dr_cross_deep_0017,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0017_matrix.score.json,answers/qx-agents__dr_cross_deep_0017_matrix.md
smolagents,dr_cross_deep_0017,0.0,0.0,0.1017,2686,scores/smolagents__dr_cross_deep_0017_matrix.score.json,answers/smolagents__dr_cross_deep_0017_matrix.md
claude-code,dr_cross_deep_0018,0.0,0.0,0.0558,1383,scores/claude-code__dr_cross_deep_0018_matrix.score.json,answers/claude-code__dr_cross_deep_0018_matrix.md
deerflow,dr_cross_deep_0018,0.0,0.0,0.1608,9185,scores/deerflow__dr_cross_deep_0018_matrix.score.json,answers/deerflow__dr_cross_deep_0018_matrix.md
flowsearcher-ds,dr_cross_deep_0018,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0018_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0018_matrix.md
gpt-researcher,dr_cross_deep_0018,0.0,0.0,0.1542,9759,scores/gpt-researcher__dr_cross_deep_0018_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0018_matrix.md
ii-researcher,dr_cross_deep_0018,0.6033,0.0,0.4567,5977,scores/ii-researcher__dr_cross_deep_0018_matrix.score.json,answers/ii-researcher__dr_cross_deep_0018_matrix.md
langchain-odr,dr_cross_deep_0018,0.0,0.0,0.1608,8635,scores/langchain-odr__dr_cross_deep_0018_matrix.score.json,answers/langchain-odr__dr_cross_deep_0018_matrix.md
ldr,dr_cross_deep_0018,0.0,0.0,0.1092,5091,scores/ldr__dr_cross_deep_0018_matrix.score.json,answers/ldr__dr_cross_deep_0018_matrix.md
opencode,dr_cross_deep_0018,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0018_matrix.score.json,answers/opencode__dr_cross_deep_0018_matrix.md
qx-agents,dr_cross_deep_0018,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0018_matrix.score.json,answers/qx-agents__dr_cross_deep_0018_matrix.md
smolagents,dr_cross_deep_0018,0.0,0.0,0.075,3876,scores/smolagents__dr_cross_deep_0018_matrix.score.json,answers/smolagents__dr_cross_deep_0018_matrix.md
camel-ai,dr_cross_deep_0019,0.0,0.0,0.1033,17029,scores/camel-ai__dr_cross_deep_0019_matrix.score.json,answers/camel-ai__dr_cross_deep_0019_matrix.md
claude-code,dr_cross_deep_0019,0.0,0.0,0.0592,1617,scores/claude-code__dr_cross_deep_0019_matrix.score.json,answers/claude-code__dr_cross_deep_0019_matrix.md
deerflow,dr_cross_deep_0019,0.0,0.0,0.1425,13513,scores/deerflow__dr_cross_deep_0019_matrix.score.json,answers/deerflow__dr_cross_deep_0019_matrix.md
flowsearcher-ds,dr_cross_deep_0019,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0019_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0019_matrix.md
gpt-researcher,dr_cross_deep_0019,0.0,0.0,0.1533,8238,scores/gpt-researcher__dr_cross_deep_0019_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0019_matrix.md
ii-researcher,dr_cross_deep_0019,0.4482,0.0333,0.3567,7466,scores/ii-researcher__dr_cross_deep_0019_matrix.score.json,answers/ii-researcher__dr_cross_deep_0019_matrix.md
langchain-odr,dr_cross_deep_0019,0.0,0.0,0.1233,6367,scores/langchain-odr__dr_cross_deep_0019_matrix.score.json,answers/langchain-odr__dr_cross_deep_0019_matrix.md
ldr,dr_cross_deep_0019,0.0,0.0,0.1092,4659,scores/ldr__dr_cross_deep_0019_matrix.score.json,answers/ldr__dr_cross_deep_0019_matrix.md
opencode,dr_cross_deep_0019,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0019_matrix.score.json,answers/opencode__dr_cross_deep_0019_matrix.md
qx-agents,dr_cross_deep_0019,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0019_matrix.score.json,answers/qx-agents__dr_cross_deep_0019_matrix.md
smolagents,dr_cross_deep_0019,0.0,0.0,0.07,2596,scores/smolagents__dr_cross_deep_0019_matrix.score.json,answers/smolagents__dr_cross_deep_0019_matrix.md
claude-code,dr_cross_deep_0020,0.0,0.0,0.0,6084,scores/claude-code__dr_cross_deep_0020_matrix.score.json,answers/claude-code__dr_cross_deep_0020_matrix.md
deerflow,dr_cross_deep_0020,0.3948,0.0273,0.4287,10520,scores/deerflow__dr_cross_deep_0020_matrix.score.json,answers/deerflow__dr_cross_deep_0020_matrix.md
flowsearcher-ds,dr_cross_deep_0020,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0020_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0020_matrix.md
gpt-researcher,dr_cross_deep_0020,0.0,0.0,0.1617,8401,scores/gpt-researcher__dr_cross_deep_0020_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0020_matrix.md
ii-researcher,dr_cross_deep_0020,0.5448,0.0,0.4292,6845,scores/ii-researcher__dr_cross_deep_0020_matrix.score.json,answers/ii-researcher__dr_cross_deep_0020_matrix.md
langchain-odr,dr_cross_deep_0020,0.0,0.0,0.1683,10167,scores/langchain-odr__dr_cross_deep_0020_matrix.score.json,answers/langchain-odr__dr_cross_deep_0020_matrix.md
ldr,dr_cross_deep_0020,0.0,0.0,0.1208,5664,scores/ldr__dr_cross_deep_0020_matrix.score.json,answers/ldr__dr_cross_deep_0020_matrix.md
opencode,dr_cross_deep_0020,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0020_matrix.score.json,answers/opencode__dr_cross_deep_0020_matrix.md
qx-agents,dr_cross_deep_0020,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0020_matrix.score.json,answers/qx-agents__dr_cross_deep_0020_matrix.md
smolagents,dr_cross_deep_0020,0.0,0.0,0.1017,3803,scores/smolagents__dr_cross_deep_0020_matrix.score.json,answers/smolagents__dr_cross_deep_0020_matrix.md
camel-ai,dr_cross_deep_0021,0.0,0.0,0.1233,5763,scores/camel-ai__dr_cross_deep_0021_matrix.score.json,answers/camel-ai__dr_cross_deep_0021_matrix.md
claude-code,dr_cross_deep_0021,0.0,0.0,0.0258,675,scores/claude-code__dr_cross_deep_0021_matrix.score.json,answers/claude-code__dr_cross_deep_0021_matrix.md
deerflow,dr_cross_deep_0021,0.3943,0.0255,0.4417,13906,scores/deerflow__dr_cross_deep_0021_matrix.score.json,answers/deerflow__dr_cross_deep_0021_matrix.md
flowsearcher-ds,dr_cross_deep_0021,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0021_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0021_matrix.md
gpt-researcher,dr_cross_deep_0021,0.0,0.0,0.165,8633,scores/gpt-researcher__dr_cross_deep_0021_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0021_matrix.md
ii-researcher,dr_cross_deep_0021,0.4315,0.0,0.3885,5622,scores/ii-researcher__dr_cross_deep_0021_matrix.score.json,answers/ii-researcher__dr_cross_deep_0021_matrix.md
langchain-odr,dr_cross_deep_0021,0.0,0.0,0.165,8155,scores/langchain-odr__dr_cross_deep_0021_matrix.score.json,answers/langchain-odr__dr_cross_deep_0021_matrix.md
ldr,dr_cross_deep_0021,0.0,0.0,0.1617,6005,scores/ldr__dr_cross_deep_0021_matrix.score.json,answers/ldr__dr_cross_deep_0021_matrix.md
opencode,dr_cross_deep_0021,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0021_matrix.score.json,answers/opencode__dr_cross_deep_0021_matrix.md
qx-agents,dr_cross_deep_0021,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0021_matrix.score.json,answers/qx-agents__dr_cross_deep_0021_matrix.md
smolagents,dr_cross_deep_0021,0.0,0.0,0.1167,3411,scores/smolagents__dr_cross_deep_0021_matrix.score.json,answers/smolagents__dr_cross_deep_0021_matrix.md
camel-ai,dr_cross_deep_0022,0.0,0.0,0.0925,6020,scores/camel-ai__dr_cross_deep_0022_matrix.score.json,answers/camel-ai__dr_cross_deep_0022_matrix.md
claude-code,dr_cross_deep_0022,0.0,0.0,0.0975,3860,scores/claude-code__dr_cross_deep_0022_matrix.score.json,answers/claude-code__dr_cross_deep_0022_matrix.md
deerflow,dr_cross_deep_0022,0.4445,0.0333,0.4883,10943,scores/deerflow__dr_cross_deep_0022_matrix.score.json,answers/deerflow__dr_cross_deep_0022_matrix.md
flowsearcher-ds,dr_cross_deep_0022,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0022_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0022_matrix.md
gpt-researcher,dr_cross_deep_0022,0.0,0.0,0.1167,6920,scores/gpt-researcher__dr_cross_deep_0022_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0022_matrix.md
ii-researcher,dr_cross_deep_0022,0.0,0.0,0.0933,5907,scores/ii-researcher__dr_cross_deep_0022_matrix.score.json,answers/ii-researcher__dr_cross_deep_0022_matrix.md
langchain-odr,dr_cross_deep_0022,0.0,0.0,0.1483,7809,scores/langchain-odr__dr_cross_deep_0022_matrix.score.json,answers/langchain-odr__dr_cross_deep_0022_matrix.md
ldr,dr_cross_deep_0022,0.0,0.0,0.1167,5435,scores/ldr__dr_cross_deep_0022_matrix.score.json,answers/ldr__dr_cross_deep_0022_matrix.md
opencode,dr_cross_deep_0022,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0022_matrix.score.json,answers/opencode__dr_cross_deep_0022_matrix.md
qx-agents,dr_cross_deep_0022,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0022_matrix.score.json,answers/qx-agents__dr_cross_deep_0022_matrix.md
smolagents,dr_cross_deep_0022,0.0,0.0,0.0967,3470,scores/smolagents__dr_cross_deep_0022_matrix.score.json,answers/smolagents__dr_cross_deep_0022_matrix.md
claude-code,dr_cross_deep_0023,0.0,0.0,0.02,1335,scores/claude-code__dr_cross_deep_0023_matrix.score.json,answers/claude-code__dr_cross_deep_0023_matrix.md
deerflow,dr_cross_deep_0023,0.4429,0.0312,0.4675,12979,scores/deerflow__dr_cross_deep_0023_matrix.score.json,answers/deerflow__dr_cross_deep_0023_matrix.md
flowsearcher-ds,dr_cross_deep_0023,0.0,0.0,0.1233,35386,scores/flowsearcher-ds__dr_cross_deep_0023_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0023_matrix.md
gpt-researcher,dr_cross_deep_0023,0.3892,0.0,0.1358,8513,scores/gpt-researcher__dr_cross_deep_0023_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0023_matrix.md
ii-researcher,dr_cross_deep_0023,0.5033,0.0,0.4283,6490,scores/ii-researcher__dr_cross_deep_0023_matrix.score.json,answers/ii-researcher__dr_cross_deep_0023_matrix.md
langchain-odr,dr_cross_deep_0023,0.0,0.0,0.1275,8458,scores/langchain-odr__dr_cross_deep_0023_matrix.score.json,answers/langchain-odr__dr_cross_deep_0023_matrix.md
ldr,dr_cross_deep_0023,0.0,0.0,0.1092,4832,scores/ldr__dr_cross_deep_0023_matrix.score.json,answers/ldr__dr_cross_deep_0023_matrix.md
opencode,dr_cross_deep_0023,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0023_matrix.score.json,answers/opencode__dr_cross_deep_0023_matrix.md
qx-agents,dr_cross_deep_0023,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0023_matrix.score.json,answers/qx-agents__dr_cross_deep_0023_matrix.md
smolagents,dr_cross_deep_0023,0.0,0.0,0.1092,5097,scores/smolagents__dr_cross_deep_0023_matrix.score.json,answers/smolagents__dr_cross_deep_0023_matrix.md
camel-ai,dr_cross_deep_0024,0.0,0.0,0.015,3103,scores/camel-ai__dr_cross_deep_0024_matrix.score.json,answers/camel-ai__dr_cross_deep_0024_matrix.md
claude-code,dr_cross_deep_0024,0.0,0.0,0.0,304,scores/claude-code__dr_cross_deep_0024_matrix.score.json,answers/claude-code__dr_cross_deep_0024_matrix.md
deerflow,dr_cross_deep_0024,0.4492,0.0333,0.4925,12590,scores/deerflow__dr_cross_deep_0024_matrix.score.json,answers/deerflow__dr_cross_deep_0024_matrix.md
flowsearcher-ds,dr_cross_deep_0024,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0024_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0024_matrix.md
gpt-researcher,dr_cross_deep_0024,0.0,0.0,0.1458,7469,scores/gpt-researcher__dr_cross_deep_0024_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0024_matrix.md
ii-researcher,dr_cross_deep_0024,0.5359,0.0,0.4167,5845,scores/ii-researcher__dr_cross_deep_0024_matrix.score.json,answers/ii-researcher__dr_cross_deep_0024_matrix.md
langchain-odr,dr_cross_deep_0024,0.0,0.0,0.1608,8766,scores/langchain-odr__dr_cross_deep_0024_matrix.score.json,answers/langchain-odr__dr_cross_deep_0024_matrix.md
ldr,dr_cross_deep_0024,0.0,0.0,0.15,6509,scores/ldr__dr_cross_deep_0024_matrix.score.json,answers/ldr__dr_cross_deep_0024_matrix.md
opencode,dr_cross_deep_0024,0.0,0.0,0.0,184,scores/opencode__dr_cross_deep_0024_matrix.score.json,answers/opencode__dr_cross_deep_0024_matrix.md
qx-agents,dr_cross_deep_0024,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0024_matrix.score.json,answers/qx-agents__dr_cross_deep_0024_matrix.md
smolagents,dr_cross_deep_0024,0.0,0.0,0.1208,5484,scores/smolagents__dr_cross_deep_0024_matrix.score.json,answers/smolagents__dr_cross_deep_0024_matrix.md
claude-code,dr_cross_deep_0025,0.0,0.0,0.0,186,scores/claude-code__dr_cross_deep_0025_matrix.score.json,answers/claude-code__dr_cross_deep_0025_matrix.md
deerflow,dr_cross_deep_0025,0.4483,0.0333,0.4883,10466,scores/deerflow__dr_cross_deep_0025_matrix.score.json,answers/deerflow__dr_cross_deep_0025_matrix.md
flowsearcher-ds,dr_cross_deep_0025,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0025_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0025_matrix.md
gpt-researcher,dr_cross_deep_0025,0.0,0.0,0.1017,7676,scores/gpt-researcher__dr_cross_deep_0025_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0025_matrix.md
ii-researcher,dr_cross_deep_0025,0.0,0.0,0.1208,7205,scores/ii-researcher__dr_cross_deep_0025_matrix.score.json,answers/ii-researcher__dr_cross_deep_0025_matrix.md
langchain-odr,dr_cross_deep_0025,0.0,0.0,0.15,9188,scores/langchain-odr__dr_cross_deep_0025_matrix.score.json,answers/langchain-odr__dr_cross_deep_0025_matrix.md
ldr,dr_cross_deep_0025,0.0,0.0,0.0708,3081,scores/ldr__dr_cross_deep_0025_matrix.score.json,answers/ldr__dr_cross_deep_0025_matrix.md
opencode,dr_cross_deep_0025,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0025_matrix.score.json,answers/opencode__dr_cross_deep_0025_matrix.md
qx-agents,dr_cross_deep_0025,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0025_matrix.score.json,answers/qx-agents__dr_cross_deep_0025_matrix.md
smolagents,dr_cross_deep_0025,0.0,0.0,0.1017,3552,scores/smolagents__dr_cross_deep_0025_matrix.score.json,answers/smolagents__dr_cross_deep_0025_matrix.md
camel-ai,dr_cross_deep_0026,0.0,0.0,0.135,7277,scores/camel-ai__dr_cross_deep_0026_matrix.score.json,answers/camel-ai__dr_cross_deep_0026_matrix.md
claude-code,dr_cross_deep_0026,0.0,0.0,0.0,186,scores/claude-code__dr_cross_deep_0026_matrix.score.json,answers/claude-code__dr_cross_deep_0026_matrix.md
deerflow,dr_cross_deep_0026,0.4248,0.0333,0.4425,10993,scores/deerflow__dr_cross_deep_0026_matrix.score.json,answers/deerflow__dr_cross_deep_0026_matrix.md
flowsearcher-ds,dr_cross_deep_0026,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0026_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0026_matrix.md
gpt-researcher,dr_cross_deep_0026,0.0,0.0,0.1575,11406,scores/gpt-researcher__dr_cross_deep_0026_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0026_matrix.md
ii-researcher,dr_cross_deep_0026,0.0,0.0,0.135,5445,scores/ii-researcher__dr_cross_deep_0026_matrix.score.json,answers/ii-researcher__dr_cross_deep_0026_matrix.md
langchain-odr,dr_cross_deep_0026,0.0,0.0,0.1158,6600,scores/langchain-odr__dr_cross_deep_0026_matrix.score.json,answers/langchain-odr__dr_cross_deep_0026_matrix.md
ldr,dr_cross_deep_0026,0.0,0.0,0.1133,4874,scores/ldr__dr_cross_deep_0026_matrix.score.json,answers/ldr__dr_cross_deep_0026_matrix.md
opencode,dr_cross_deep_0026,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0026_matrix.score.json,answers/opencode__dr_cross_deep_0026_matrix.md
qx-agents,dr_cross_deep_0026,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0026_matrix.score.json,answers/qx-agents__dr_cross_deep_0026_matrix.md
smolagents,dr_cross_deep_0026,0.0,0.0,0.105,3407,scores/smolagents__dr_cross_deep_0026_matrix.score.json,answers/smolagents__dr_cross_deep_0026_matrix.md
camel-ai,dr_cross_deep_0027,0.0,0.0,0.09,5487,scores/camel-ai__dr_cross_deep_0027_matrix.score.json,answers/camel-ai__dr_cross_deep_0027_matrix.md
claude-code,dr_cross_deep_0027,0.0,0.0,0.0,215,scores/claude-code__dr_cross_deep_0027_matrix.score.json,answers/claude-code__dr_cross_deep_0027_matrix.md
deerflow,dr_cross_deep_0027,0.4791,0.0306,0.4775,9933,scores/deerflow__dr_cross_deep_0027_matrix.score.json,answers/deerflow__dr_cross_deep_0027_matrix.md
flowsearcher-ds,dr_cross_deep_0027,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0027_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0027_matrix.md
gpt-researcher,dr_cross_deep_0027,0.0,0.0,0.1542,7734,scores/gpt-researcher__dr_cross_deep_0027_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0027_matrix.md
ii-researcher,dr_cross_deep_0027,0.2756,0.0,0.325,6033,scores/ii-researcher__dr_cross_deep_0027_matrix.score.json,answers/ii-researcher__dr_cross_deep_0027_matrix.md
langchain-odr,dr_cross_deep_0027,0.0,0.0,0.0883,7654,scores/langchain-odr__dr_cross_deep_0027_matrix.score.json,answers/langchain-odr__dr_cross_deep_0027_matrix.md
ldr,dr_cross_deep_0027,0.0,0.0,0.1042,5132,scores/ldr__dr_cross_deep_0027_matrix.score.json,answers/ldr__dr_cross_deep_0027_matrix.md
opencode,dr_cross_deep_0027,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0027_matrix.score.json,answers/opencode__dr_cross_deep_0027_matrix.md
qx-agents,dr_cross_deep_0027,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0027_matrix.score.json,answers/qx-agents__dr_cross_deep_0027_matrix.md
smolagents,dr_cross_deep_0027,0.0,0.0,0.1017,3405,scores/smolagents__dr_cross_deep_0027_matrix.score.json,answers/smolagents__dr_cross_deep_0027_matrix.md
camel-ai,dr_cross_deep_0028,0.0,0.0,0.12,6964,scores/camel-ai__dr_cross_deep_0028_matrix.score.json,answers/camel-ai__dr_cross_deep_0028_matrix.md
claude-code,dr_cross_deep_0028,0.0,0.0,0.0,185,scores/claude-code__dr_cross_deep_0028_matrix.score.json,answers/claude-code__dr_cross_deep_0028_matrix.md
deerflow,dr_cross_deep_0028,0.4644,0.0,0.4625,6996,scores/deerflow__dr_cross_deep_0028_matrix.score.json,answers/deerflow__dr_cross_deep_0028_matrix.md
flowsearcher-ds,dr_cross_deep_0028,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0028_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0028_matrix.md
gpt-researcher,dr_cross_deep_0028,0.0,0.0,0.1542,7688,scores/gpt-researcher__dr_cross_deep_0028_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0028_matrix.md
ii-researcher,dr_cross_deep_0028,0.0,0.0,0.0975,4171,scores/ii-researcher__dr_cross_deep_0028_matrix.score.json,answers/ii-researcher__dr_cross_deep_0028_matrix.md
langchain-odr,dr_cross_deep_0028,0.0,0.0,0.1492,8285,scores/langchain-odr__dr_cross_deep_0028_matrix.score.json,answers/langchain-odr__dr_cross_deep_0028_matrix.md
ldr,dr_cross_deep_0028,0.0,0.0,0.0933,4126,scores/ldr__dr_cross_deep_0028_matrix.score.json,answers/ldr__dr_cross_deep_0028_matrix.md
opencode,dr_cross_deep_0028,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0028_matrix.score.json,answers/opencode__dr_cross_deep_0028_matrix.md
qx-agents,dr_cross_deep_0028,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0028_matrix.score.json,answers/qx-agents__dr_cross_deep_0028_matrix.md
smolagents,dr_cross_deep_0028,0.0,0.0,0.1092,4122,scores/smolagents__dr_cross_deep_0028_matrix.score.json,answers/smolagents__dr_cross_deep_0028_matrix.md
camel-ai,dr_cross_deep_0029,0.0,0.0,0.0633,6658,scores/camel-ai__dr_cross_deep_0029_matrix.score.json,answers/camel-ai__dr_cross_deep_0029_matrix.md
claude-code,dr_cross_deep_0029,0.0,0.0,0.0,215,scores/claude-code__dr_cross_deep_0029_matrix.score.json,answers/claude-code__dr_cross_deep_0029_matrix.md
deerflow,dr_cross_deep_0029,0.4317,0.0,0.455,6712,scores/deerflow__dr_cross_deep_0029_matrix.score.json,answers/deerflow__dr_cross_deep_0029_matrix.md
flowsearcher-ds,dr_cross_deep_0029,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0029_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0029_matrix.md
gpt-researcher,dr_cross_deep_0029,0.0,0.0,0.1575,8948,scores/gpt-researcher__dr_cross_deep_0029_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0029_matrix.md
ii-researcher,dr_cross_deep_0029,0.0,0.0,0.1533,6823,scores/ii-researcher__dr_cross_deep_0029_matrix.score.json,answers/ii-researcher__dr_cross_deep_0029_matrix.md
langchain-odr,dr_cross_deep_0029,0.0,0.0,0.1417,8626,scores/langchain-odr__dr_cross_deep_0029_matrix.score.json,answers/langchain-odr__dr_cross_deep_0029_matrix.md
ldr,dr_cross_deep_0029,0.0,0.0,0.1017,4859,scores/ldr__dr_cross_deep_0029_matrix.score.json,answers/ldr__dr_cross_deep_0029_matrix.md
opencode,dr_cross_deep_0029,0.0,0.0,0.0,182,scores/opencode__dr_cross_deep_0029_matrix.score.json,answers/opencode__dr_cross_deep_0029_matrix.md
qx-agents,dr_cross_deep_0029,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0029_matrix.score.json,answers/qx-agents__dr_cross_deep_0029_matrix.md
smolagents,dr_cross_deep_0029,0.0,0.0,0.0667,3690,scores/smolagents__dr_cross_deep_0029_matrix.score.json,answers/smolagents__dr_cross_deep_0029_matrix.md
